iter	Passed	Remaining
399	1729	2594
400	1731	2586
401	1732	2577
402	1733	2568
403	1734	2559
404	1735	2550
405	1737	2541
406	1740	2535
407	1741	2527
408	1743	2518
409	1744	2510
410	1745	2502
411	1747	2493
412	1748	2485
413	1749	2476
414	1751	2468
415	1752	2460
416	1754	2453
417	1756	2444
418	1757	2437
419	1758	2428
420	1759	2420
421	1761	2412
422	1762	2403
423	1763	2395
424	1766	2389
425	1770	2385
426	1771	2377
427	1773	2369
428	1774	2362
429	1775	2354
430	1777	2346
431	1778	2338
432	1779	2330
433	1780	2322
434	1784	2317
435	1785	2309
436	1787	2302
437	1788	2294
438	1789	2287
439	1790	2279
440	1792	2272
441	1793	2264
442	1794	2256
443	1795	2248
444	1798	2243
445	1800	2236
446	1801	2228
447	1802	2221
448	1803	2213
449	1805	2206
450	1806	2199
451	1807	2191
452	1809	2184
453	1810	2177
454	1813	2172
455	1814	2165
456	1816	2158
457	1817	2150
458	1819	2144
459	1820	2137
460	1822	2130
461	1823	2123
462	1824	2116
463	1828	2112
464	1830	2106
465	1834	2101
466	1835	2094
467	1836	2088
468	1838	2081
469	1839	2074
470	1842	2069
471	1843	2062
472	1845	2056
473	1846	2049
474	1848	2042
475	1849	2036
476	1850	2029
477	1851	2022
478	1853	2016
479	1857	2012
480	1860	2007
481	1861	2000
482	1862	1994
483	1864	1987
484	1865	1981
485	1867	1974
486	1868	1968
487	1869	1961
488	1874	1959
489	1876	1953
490	1878	1947
491	1879	1941
492	1881	1935
493	1883	1928
494	1884	1922
495	1885	1916
496	1888	1911
497	1889	1905
498	1891	1898
499	1892	1892
500	1893	1886
501	1895	1879
502	1896	1873
503	1897	1867
504	1898	1861
505	1899	1854
506	1902	1850
507	1904	1844
508	1906	1839
509	1907	1832
510	1908	1826
511	1909	1820
512	1911	1814
513	1912	1808
514	1913	1802
515	1915	1796
516	1917	1791
517	1918	1785
518	1920	1779
519	1921	1773
520	1922	1767
521	1923	1761
522	1925	1755
523	1926	1749
524	1927	1743
525	1930	1739
526	1931	1733
527	1932	1727
528	1934	1722
529	1935	1716
530	1936	1710
531	1937	1704
532	1938	1698
533	1939	1692
534	1940	1686
535	1941	1681
536	1944	1676
537	1946	1671
538	1947	1665
539	1948	1660
540	1950	1654
541	1951	1649
542	1952	1643
543	1953	1637
544	1955	1632
545	1956	1626
546	1958	1621
547	1959	1616
548	1960	1610
549	1961	1605
550	1963	1599
551	1964	1594
552	1965	1588
553	1966	1583
554	1967	1577
555	1969	1572
556	1970	1566
557	1971	1561
558	1973	1557
559	1974	1551
560	1976	1546
561	1977	1540
562	1978	1535
563	1979	1530
564	1980	1524
565	1981	1519
566	1982	1514
567	1983	1508
568	1984	1503
569	1986	1498
570	1988	1494
571	1989	1488
572	1991	1483
573	1992	1478
574	1993	1473
575	1994	1468
576	1996	1463
577	1998	1459
578	1999	1454
579	2001	1449
580	2004	1445
581	2005	1440
582	2006	1435
583	2008	1430
584	2009	1425
585	2010	1420
586	2011	1415
587	2013	1410
588	2014	1405
589	2016	1400
590	2018	1396
591	2019	1392
592	2021	1387
593	2022	1382
594	2023	1377
595	2025	1372
596	2026	1367
597	2029	1364
598	2030	1359
599	2033	1355
600	2035	1351
601	2036	1346
602	2037	1341
603	2038	1336
604	2039	1331
605	2041	1327
606	2042	1322
607	2043	1317
608	2044	1312
609	2045	1307
610	2047	1303
611	2049	1299
612	2050	1294
613	2051	1289
614	2052	1285
615	2053	1280
616	2055	1275
617	2056	1270
618	2057	1266
619	2058	1261
620	2059	1257
621	2060	1252
622	2064	1249
623	2066	1245
624	2067	1240
625	2069	1236
626	2070	1231
627	2071	1226
628	2072	1222
629	2073	1217
630	2074	1213
631	2075	1208
632	2079	1205
633	2080	1201
634	2081	1196
635	2083	1192
636	2084	1187
637	2085	1183
638	2086	1178
639	2087	1174
640	2088	1169
641	2089	1165
642	2090	1160
643	2093	1157
644	2095	1153
645	2096	1148
646	2097	1144
647	2100	1141
648	2101	1136
649	2102	1132
650	2104	1128
651	2105	1123
652	2106	1119
653	2107	1115
654	2108	1110
655	2109	1106
656	2111	1102
657	2112	1097
658	2113	1093
659	2116	1090
660	2117	1085
661	2118	1081
662	2119	1077
663	2121	1073
664	2122	1069
665	2123	1064
666	2124	1060
667	2125	1056
668	2126	1052
669	2128	1048
670	2130	1044
671	2132	1040
672	2133	1036
673	2135	1032
674	2138	1029
675	2139	1025
676	2141	1021
677	2142	1017
678	2146	1014
679	2147	1010
680	2149	1006
681	2150	1002
682	2151	998
683	2154	995
684	2155	991
685	2156	987
686	2160	984
687	2162	980
688	2164	976
689	2165	972
690	2166	968
691	2169	965
692	2170	961
693	2172	957
694	2178	956
695	2180	952
696	2181	948
697	2183	944
698	2184	940
699	2186	937
700	2187	933
701	2192	930
702	2194	927
703	2195	923
704	2197	919
705	2199	915
706	2201	912
707	2209	911
708	2210	907
709	2212	903
710	2213	899
711	2216	896
712	2222	894
713	2224	891
714	2225	887
715	2227	883
716	2228	879
717	2230	875
718	2236	874
719	2239	870
720	2240	866
721	2241	863
722	2243	859
723	2244	855
724	2246	851
725	2251	849
726	2255	847
727	2257	843
728	2258	839
729	2260	835
730	2264	833
731	2269	830
732	2271	827
733	2273	823
734	2274	820
735	2276	816
736	2280	813
737	2282	810
738	2285	807
739	2287	803
740	2290	800
741	2292	797
742	2293	793
743	2294	789
744	2299	787
745	2301	783
746	2308	781
747	2313	779
748	2314	775
749	2316	772
750	2317	768
751	2325	766
752	2327	763
753	2329	759
754	2330	756
755	2332	752
756	2342	751
757	2349	750
758	2353	747
759	2355	743
760	2361	741
761	2363	738
762	2364	734
763	2368	731
764	2369	727
765	2370	724
766	2374	721
767	2377	718
768	2379	714
769	2380	711
770	2382	707
771	2391	706
772	2393	702
773	2395	699
774	2396	695
775	2398	692
776	2409	691
777	2411	688
778	2416	685
779	2424	683
780	2425	680
781	2427	676
782	2432	674
783	2436	671
784	2440	668
785	2441	664
786	2443	661
787	2451	659
788	2454	656
789	2456	652
790	2457	649
791	2459	645
792	2464	643
793	2467	640
794	2469	636
795	2470	633
796	2471	629
797	2482	628
798	2483	624
799	2485	621
800	2486	617
801	2490	614
802	2497	612
803	2499	609
804	2500	605
805	2501	602
806	2510	600
807	2513	597
808	2514	593
809	2516	590
810	2520	587
811	2526	585
812	2528	581
813	2530	578
814	2531	574
815	2539	572
816	2542	569
817	2543	565
818	2545	562
819	2546	558
820	2554	556
821	2556	553
822	2557	550
823	2559	546
824	2560	543
825	2561	539
826	2572	538
827	2574	534
828	2575	531
829	2577	527
830	2586	525
831	2588	522
832	2589	519
833	2590	515
834	2592	512
835	2602	510
836	2604	507
837	2605	503
838	2607	500
839	2608	496
840	2617	494
841	2618	491
842	2620	488
843	2621	484
844	2623	481
845	2624	477
846	2629	474
847	2631	471
848	2634	468
849	2635	465
850	2637	461
851	2638	458
852	2639	454
853	2644	452
854	2646	448
855	2647	445
856	2648	441
857	2650	438
858	2652	435
859	2654	432
860	2655	428
861	2658	425
862	2659	422
863	2660	418
864	2662	415
865	2663	412
866	2664	408
867	2666	405
868	2667	402
869	2669	398
870	2671	395
871	2672	392
872	2674	389
873	2675	385
874	2677	382
875	2678	379
876	2680	375
877	2682	372
878	2685	369
879	2687	366
880	2688	363
881	2690	359
882	2691	356
883	2692	353
884	2693	350
885	2695	346
886	2696	343
887	2699	340
888	2701	337
889	2702	334
890	2704	330
891	2705	327
892	2706	324
893	2708	321
894	2709	317
895	2711	314
896	2713	311
897	2715	308
898	2716	305
899	2718	302
900	2719	298
901	2720	295
902	2722	292
903	2723	289
904	2735	287
905	2738	284
906	2740	281
907	2742	277
908	2749	275
909	2750	272
910	2752	268
911	2759	266
912	2763	263
913	2766	260
914	2767	257
915	2770	254
916	2773	250
917	2776	248
918	2785	245
919	2787	242
920	2792	239
921	2797	236
922	2800	233
923	2801	230
924	2803	227
925	2804	224
926	2808	221
927	2811	218
928	2812	214
929	2814	211
930	2815	208
931	2816	205
932	2823	202
933	2825	199
934	2826	196
935	2827	193
936	2829	190
937	2830	187
938	2836	184
939	2839	181
940	2840	178
941	2841	174
942	2843	171
943	2844	168
944	2845	165
945	2850	162
946	2851	159
947	2853	156
948	2854	153
949	2855	150
950	2856	147
951	2857	144
952	2858	140
953	2860	137
954	2863	134
955	2865	131
956	2867	128
957	2868	125
958	2869	122
959	2870	119
960	2871	116
961	2872	113
962	2873	110
963	2875	107
964	2879	104
965	2880	101
966	2881	98
967	2882	95
968	2884	92
969	2885	89
970	2886	86
971	2887	83
972	2888	80
973	2889	77
974	2893	74
975	2895	71
976	2897	68
977	2898	65
978	2899	62
979	2900	59
980	2901	56
981	2903	53
982	2904	50
983	2905	47
984	2908	44
985	2910	41
986	2911	38
987	2913	35
988	2914	32
989	2915	29
990	2916	26
991	2917	23
992	2919	20
993	2920	17
994	2923	14
995	2924	11
996	2925	8
997	2927	5
998	2928	2
999	2929	0
